12:35:33.403205 config: drop-rate=0.30, max-delay=1s, seed=1
12:36:20.340017 [queue=2] packet #6, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 330ms
12:36:20.446539 [queue=1] packet #4, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:20.453159 [queue=2] packet #7, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 910ms
12:36:20.453259 [queue=3] packet #8, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=14 is delayed for 780ms
12:36:20.671212 [queue=2] packet #6, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:20.723330 [queue=3] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 460ms
12:36:21.184513 [queue=2] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:21.234331 [queue=1] packet #8, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=14 is delivered
12:36:21.234605 [queue=2] packet #8, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 400ms
12:36:21.364272 [queue=1] packet #7, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:21.364449 [queue=1] packet #7, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is dropped
12:36:21.635752 [queue=0] packet #8, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:23.725098 [queue=1] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 430ms
12:36:24.156247 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:26.726707 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is dropped
12:36:27.176466 [queue=1] packet #7, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 250ms
12:36:27.427636 [queue=0] packet #7, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:27.427986 [queue=1] packet #7, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 150ms
12:36:27.579131 [queue=0] packet #7, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:27.585694 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 870ms
12:36:28.457137 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:36:28.461474 [queue=1] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 100ms
12:36:28.563036 [queue=0] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:28.567766 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 900ms
12:36:29.469329 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:36:29.730378 [queue=1] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 980ms
12:36:30.711987 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:30.714497 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 910ms
12:36:31.626171 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:31.628669 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is dropped
12:36:31.631688 [queue=0] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is dropped
12:36:31.631817 [queue=1] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delayed for 670ms
12:36:31.631887 [queue=2] packet #3, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delayed for 710ms
12:36:32.302958 [queue=1] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delivered
12:36:32.342980 [queue=0] packet #3, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delivered
12:36:32.343181 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 260ms
12:36:32.604310 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:34.480819 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 810ms
12:36:35.291971 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:36:35.617454 [queue=1] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delayed for 660ms
12:36:35.617500 [queue=2] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delayed for 930ms
12:36:36.278599 [queue=1] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delivered
12:36:36.278815 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is dropped
12:36:36.548509 [queue=0] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delivered
12:36:36.548743 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 810ms
12:36:37.359891 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:37.482232 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 750ms
12:36:38.233455 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:36:40.372610 [queue=1] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delayed for 100ms
12:36:40.473757 [queue=0] packet #1, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=20 is delivered
12:36:40.474075 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 490ms
12:36:40.483701 [queue=2] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 180ms
